Date,Open,Adj Close,Volume,returns,range,ma_12,ma_21,hmm_predictions,ma_signal,hmm_signal,combined_signal,lrets_bench,lrets_bench_prod,lrets_bench_prod_exp,lrets_strat,lrets_strat_prod,lrets_strat_prod_exp
2023-10-05,27798.646484375,27415.912109375,11877253670,-0.01379463216164356,0.026164165342257073,27015.523111979168,26891.497023809523,1,1.0,1,1.0,-0.013890662255842758,0.11505165706872833,0.12193139176206635,-0.014001969389433105,-0.36300860075635827,-0.3044195490446183
2023-10-06,27412.123046875,27946.59765625,13492391599,0.01935684447622399,0.03810263877867981,27156.33740234375,26955.20675223214,1,1.0,1,1.0,0.019171883788155934,0.13422354085688426,0.14364844322539816,0.019316669458314093,-0.34369193129804415,-0.29085263949147155
2023-10-07,27946.78125,27968.83984375,6553044316,0.0007958817661306572,0.005657178725459122,27295.534016927082,27021.90001860119,1,1.0,1,1.0,0.0007955652201821253,0.13501910607706638,0.14455865216822494,0.0008904567998564359,-0.3428014744981877,-0.29022089317254707
2023-10-08,27971.677734375,27935.08984375,7916875290,-0.001206700034343422,0.013031693730836569,27438.687337239582,27088.60965401786,1,1.0,1,1.0,-0.0012074286830624696,0.1338116773940039,0.14317751320334549,-0.0013309835628994003,-0.3441324580610871,-0.2911649690828939
2023-10-09,27934.47265625,27583.677734375,12007668568,-0.012579594744121514,0.025159111095341302,27541.267415364582,27128.10472470238,1,1.0,1,1.0,-0.012659387727925962,0.12115228966607794,0.1287968033666549,-0.01243707093312571,-0.3565695289942128,-0.299926205649391
2023-10-10,27589.201171875,27391.01953125,9973350678,-0.006984500217130485,0.015170998609502107,27572.056803385418,27136.67150297619,1,1.0,1,1.0,-0.0070090060125914885,0.11414328365348644,0.12091272184844426,-0.00717065350879549,-0.36374018250300827,-0.3049282369097974
2023-10-11,27392.076171875,26873.3203125,13648094333,-0.018900326735168282,0.03437416516738412,27568.856770833332,27124.353050595237,3,1.0,0,1.0,-0.019081220842271783,0.09506206281121465,0.09972710516390193,-0.019120813774169396,-0.3828609962771777,-0.31809231959542883
2023-10-12,26873.29296875,26756.798828125,9392909295,-0.0043359541366684295,0.013672519058145927,27551.263671875,27133.36095610119,1,1.0,1,0.0,-0.00434538164717781,0.09071668116403685,0.09495873887305994,-0.0,-0.3828609962771777,-0.31809231959542883
2023-10-13,26752.87890625,26862.375,15165312851,0.003945769916393171,0.015227838289409323,27457.815755208332,27146.827938988095,1,1.0,1,1.0,0.0039380057832304975,0.09465468694726735,0.09927919412459718,0.004227017069056859,-0.3786339792081208,-0.3152037835461957
2023-10-14,26866.203125,26861.70703125,5388116782,-2.4866332556272575e-05,0.005758584632256092,27402.059244791668,27160.271577380954,0,1.0,1,1.0,-2.4866641728645306e-05,0.09462982030553871,0.09925185908258394,-0.000304942802321081,-0.3789389220104419,-0.31541257538705747
